id,hostname,model,exist in Netmri
0x12dc12c,EARCCP01.marriott.com,Rtr_Cisco,False
0x102c101,SELCYP01.marriott.com,Rtr_Cisco,False
0x1204125,OXRTSP01.marriott.com,GnSNMPDev,False
0x130c136,TPAJDP01.marriott.com,Rtr_Cisco,False
0x133c134,BOSAFP01.marriott.com,GnSNMPDev,False
0x101810f,HDQIMSSC7K02-OTV-02.marriott.com,CiscoNXOS,False
0x1018111,hdqimn7k01-adm,CiscoNXOS,False
0x131c121,MELCYP01.marriott.com,Rtr_Cisco,False
0x1018110,HDQIMNSC7K01-OTV-01.marriott.com,CiscoNXOS,False
0x12c413e,BRURIP01.marriott.com,Rtr_Cisco,False
0x1228136,SAVHVP01.marriott.com,GnSNMPDev,False
0x11f8105,HKTJWP01.marriott.com,GnSNMPDev,False
0x11f8104,PYXLCP01,Rtr_Cisco,False
0x11f8103,HKTMDP01,Rtr_Cisco,False
0x133412e,SNAEIP01.marriott.com,GnSNMPDev,False
0x11f8102,HKTWIP01,Rtr_Cisco,False
0x121013c,STLSCP01.marriott.com,GnSNMPDev,False
0x11f4101,CZXSXP01,Rtr_Cisco,False
0x101811f,HDQIMN9K02-SAN.marriott.com,GnSNMPDev,False
0x11bc13b,VIEFGP01.marriott.com,Rtr_Cisco,False
0x11e813e,MDWOTP01.marriott.com,GnSNMPDev,False
0x1018120,HDQIMN9K01-SAN.marriott.com,GnSNMPDev,False
0x11e813f,OMAWTP01.marriott.com,GnSNMPDev,False
0x1018123,HDQIMSCNSWR302.marriott.com,GnSNMPDev,False
0x11e813c,YOWCYP01.marriott.com,GnSNMPDev,True
0x1314112,DOHWHP01,Rtr_Cisco,False
0x11e813d,YOWFAP01.marriott.com,GnSNMPDev,False
0x11e813a,DTWRAP01.marriott.com,Rtr_Cisco,False
0x1018124,HDQIMSCNNWR301.marriott.com,GnSNMPDev,False
0x11e813b,YOWAPP01.marriott.com,Rtr_Cisco,False
0x1228104,BNAFVP01.marriott.com,GnSNMPDev,False
