id,hostname,model,exist in CA Spectrum
718409424289122,XIYWHSW14-17-R1718,J9774A,False
1476121025029140,SFOWHSW07-B1-IDF,Aruba JL262A,False
2621065643822016,XIYWHSW02-18-R1802,J9774A,False
2880634043479089,DXBFP47,"HP J9627A 2620-48-PoEP Switch, revision RA.16.04.0",False
3298498453388906,DALBTP01.marriott.com,C11118PLteEA,True
3592933756880637,HOURDS04,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
3964228800200866,DXBCVS03,"Aruba 2930F VSF VC, revision WC.16.10.0016, ROM WC",False
4300548250332191,LAWFIP01.marriott.com,C899G-LTE-NA-K9,True
4310986640987257,YULDBSW01-14-IDF.singledigits.net,C2960X,False
4335939544447889,unknown,,False
4575208359473595,DALDHSW201,"HP J9773A 2530-24G-PoEP Switch, revision YA.16.10.",False
4811522970702519,DXBBM43,Aruba JL260A,False
4925793770673943,HKGOPSW02-06-IDFTower2,Aruba-JL255A,False
5496182039472208,unknown,,False
5504797472381543,DLHFDSW01,"HP J9773A 2530-24G-PoEP Switch, revision YA.16.10.",False
5599618506395849,SNAOGP01.marriott.com,C899G-LTE-NA-K9,True
6022495511644941,SZXSNSW01-B2-IDF,Aruba-JL261A,False
6226298804082869,unknown,,False
6353453152886070,SATJWSW39-3012.satjw.com,catalyst4506e,False
7185101435938975,BROSPP01.marriott.com,C11118PLteEA,True
7322447731551728,unknown,,False
7906926368667750,BURCYSW01,"ProCurve J9019B Switch 2510B-24, revision Q.11.78,",False
8900679687212701,SANOSP01.marriott.com,1921k9,True
9032024716714268,unknown,,False
9360447628992418,AUHXRS21,"HP J8698A Switch 5412zl, revision K.16.02.0030, RO",False
11345229759883625,unknown,,False
11685866188631302,PYXLCS08,"ProCurve J9085A Switch 2610-24, revision R.11.122,",False
12112688697289344,unknown,,False
12212523515772980,unknown,,False
12222133692192683,unknown,,False
12605381038876883,SATRCP01.marriott.com,1921k9,True
13524889304714457,OOLSPS57,"HP J9780A 2530-8-PoEP Switch, revision YB.16.10.00",False
13633743636418313,BVURIS02,"HP J4813A ProCurve Switch 2524, revision F.05.80, ",False
14106963479353949,BOMJWS13,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
14711389778672760,ASERAS31,"HP J9775A 2530-48G Switch, revision YA.16.10.0016,",False
15225193287842684,HAFRZS15,"HP J9856A 2530-24G-2SFP+ Switch, revision YA.16.10",False
15746879781139541,LAXLDS02,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
15853383536863255,BPTFIS01,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
15877010190812994,KHNSIS51.Marriott.com,WsC2960P24TcS,False
15951556493330464,LAXWHSW10-2-Meetingroom,Aruba JL262A,False
15989011167130158,GRRPAP01.marriott.com,C899G-LTE-NA-K9,True
16401934251551128,MOWXRS02.Marriott.com,C2960S,False
16703208270262825,SZVBRSW04-02-IDF,"HP J9776A 2530-24G Switch, revision YA.16.02.0012,",False
17133914008460222,DXBBMP01.marriott.com,ISR4451,True
17447780684389994,LISSIP01,1921k9,True
17830021907061544,JEDMD56,Aruba JL320A,False
18002348511737361,WUHWIS50,s3100-52P,False
18055027368210864,CZXMCSW03-02,J9776A,False
18202386687633442,unknown,,False
18538075971084886,HP-2530-24G-PoEP,J9773A,False
19269522288727943,HNLWISW04-02-IT1.Marriott.com,WS-C2960X-24TD-L,False
19353796293822498,unknown,,False
19472900186255223,unknown,,False
21484126724032580,unknown,,False
21666342085188703,LIHSISW13.Marriott.com,catwsC2960CX8tcL,False
22012150454365798,FUOCYSW01-11-IDF,J9773A,False
22337604210737632,BKKFPSW50,ICX715024POE,False
22409079920142652,BUHROP01.marriott.com,C1161X8PLteP,True
22569472735213268,unknown,,False
22724009214225816,GRBDEP01.marriott.com,C800,True
22732283053786960,DXBBM71,"HP J9148A 2910al-48G-PoE Switch, revision W.15.14.",False
23777412916056243,WUXSMP01.marriott.com,899GLTELAK9,True
24161211978998342,unknown,,False
24275160922688187,LAXGRSW01-V-Core,"HP J9850A Switch 5406Rzl2, revision KB.16.10.0016,",False
24336785331450531,TPLTSS01,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
25219712457605741,unknown,,False
25515825834130941,BAHRZSW-Basement.Marriott.com,catalyst29608TC,False
25828396512463271,unknown,,False
26248686836029727,SATCAS29,"ProCurve J9019B Switch 2510B-24, revision Q.11.78,",False
26482455883701561,CHIDFS01,"HP J4813A ProCurve Switch 2524, revision F.05.80, ",False
27283855767038052,unknown,,False
27569405889550080,TPEWHS62.Marriott.com,cat296024TCS,False
27798870600326296,MLIGBS01,"ProCurve J9019B Switch 2510B-24, revision Q.11.78,",False
28484114011604580,SUBFI07,"HP J9772A 2530-48G-PoEP Switch, revision YA.16.10.",False
28570376059346540,SHESIS42,s3600V2-52TP-SI,False
28733996619939691,BOMJWS12,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
30031205796817407,YULBCS02,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
30264611673876619,SZXJWS50.Marriott.com,WS-C3850-24T-S,False
30528978138498010,JSAMCS07,"HP J9775A 2530-48G Switch, revision YA.16.10.0016,",False
31100948101463518,HOUHBP01.marriott.com,C899G-LTE-NA-K9,True
31343500259244526,TPETWS44,"HP J9775A 2530-48G Switch, revision YA.16.10.0016,",False
31900570129128182,SZXWIP01,1921k9,True
32156130160763609,EATFIP01.marriott.com,C11118PLteEA,True
32499051719332808,HGHJXSW06-02-IDF,J9775A,False
33388965016161008,TYOWYSW03-15-EPSB,"HP J9775A 2530-48G Switch, revision YA.16.11.0001,",False
33907209679554288,ZHASISFA,s3600V2-52TP-SI,False
34025636708126219,SATDSP01.marriott.com,891,True
34111318490456605,CGNMCS70,"ProCurve J9019B Switch 2510B-24, revision Q.11.78,",False
35296487835064931,WJFRIP01.marriott.com,C899G-LTE-NA-K9,True
35316514134641822,TYRVTS01,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
35590467977011771,XMNBRSW06-07-IDFC,,False
35963534164180927,DALKSP01,1921k9,True
36203508172256532,HOUMWP01.marriott.com,1921k9,True
36833252691858241,CHIWHSW03-01-PBXIDF,Aruba JL258A,False
37010008220049264,ABQSIP01,1921k9,True
37376405064589563,CZXMCSW05-42,J9727A,False
37614307317719329,marrio-bohbmmi2sg-3213379.pipngw.mci.com,891,True
37744343886113189,SANONP01.marriott.com,C899G-LTE-NA-K9,True
38001429779720414,DELWIS48.Marriott.com,cat296024TCS,False
38007403752997680,SYXBRSW02-9#3F,J9626A,False
38297494175322597,DXBGL60,"HP J9148A 2910al-48G-PoE Switch, revision W.15.14.",False
38409585838437098,CHIJW-SW174-10-IDF1072,J9729A,False
38846386680734400,HKTNBS02,"HP J9781A 2530-48 Switch, revision YA.16.10.0016, ",False
38856345209446523,unknown,,False
39049157331250484,unknown,,False
39057841854615283,LBBRWS01,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
